# Wordlist

# DATA
ID	DOCULECT	LANGUAGE_CORE	SUBGROUP	CONCEPT	COGID	TOKENS	FORM	ALIGNMENT	STRUCTURE
6549	Isconahua		Pano	blood	75	i m i	imi	i m i -	V C V
6067	Kakataibo		Pano	blood	75	i m i	imi	i m i -	V C V
10122	Kaxarari		Pano	blood	75	h i m i	hiˈmi	h i m i	C V C V
5047	Matses		Pano	blood	75	i m i	imi	i m i -	V C V
5519	Sharanahua		Pano	blood	75	i m i	imi	i m i -	V C V
1972	ShipiboConibo		Pano	blood	75	h i m i	himi	h i m i	C V C V
8363	Tacana		Tacana	blood	75	a m i	ami	a m i -	V C V
2547	Yaminahua		Pano	blood	75	i m i	imi	i m i -	V C V
#
7813	Chacobo		Pano	bloom	142	h o a	joahaina	h o a -	C V V
#
4137	Moseten		Mosetén	blow (of wind)	938	p u h j e	puh'ye	p u h j e	C V C C V
8989	Tsimane		Mosetén	blow (of wind)	938	f ɨ h j i	fujyi	f ɨ h j i	C V C C V
2986	Amahuaca		Pano	blow (of wind)	185	ʂ o n ʔ k i	xóónhqui	ʂ o n ʔ k i - -	C V C C C V
9739	Chacobo		Pano	blow (of wind)	185	ʂ o	xoohacaina	ʂ o - - - - - -	C V
6550	Isconahua		Pano	blow (of wind)	185	h o n h o n a k	hon hon ak	h o n h o n a k	C V C C V C V C
6069	Kakataibo		Pano	blow (of wind)	185	ʂ ɯ n k a t i	xunkati	ʂ ɯ n k a t i -	C V C C V C V
2187	ShipiboConibo		Pano	blow (of wind)	185	ʂ o ∼ i t i	ṣ̌oõ iti	ʂ o ∼ i t i - -	C V C V C V
#
6070	Kakataibo		Pano	blue	5738	p a ʃ a	pasha	p a ʃ a	C V C V
2877	Yaminahua		Pano	blue	5925	n a n a	nana	n a n a -	C V C V
#
121	EseEjja		Tacana	body	5074	j a m i	e-yami	j a m i	C V C V
6071	Kakataibo		Pano	body	5074	n a m i	nami	n a m i	C V C V
9387	Chacobo		Pano	body	4105	β i tʃ i	bichi	β i tʃ i -	C V C V
3310	Amahuaca		Pano	body	391	j o r a	yóra	j o r a	C V C V
4067	Capanahua		Pano	body	391	j o r a	yora	j o r a	C V C V
6553	Isconahua		Pano	body	391	j o ɾ a	yora	j o ɾ a	C V C V
5523	Sharanahua		Pano	body	391	j u r a	yora	j u r a	C V C V
1964	ShipiboConibo		Pano	body	391	j o r a	yora	j o r a	C V C V
9860	Araona		Tacana	body	401	kʷ i tʃ a	cuicha	kʷ i tʃ a	C V C V
7931	Cavinena		Tacana	body	401	kʷ i t a	-kwita	kʷ i t a	C V C V
8515	Tacana		Tacana	body	401	k i t a	e-quita	k i t a	C V C V
#
3549	Capanahua		Pano	boil (something)	482	k o β i n a	cobinjaquin	k o β i n a -	C V C V C V
7704	Isconahua		Pano	boil (something)	482	k o β i n a k	kobin ak	k o β i n a k	C V C V C V C
7048	Sharanahua		Pano	boil (something)	482	k u β i n	cofin	k u β i n - -	C V C V C
#
3256	Amahuaca		Pano	bone	530	ʂ a o	xaó	ʂ a o - -	C V V
9915	Araona		Tacana	bone	530	ts a o	etsoa	ts a o - -	C V V
3994	Capanahua		Pano	bone	530	ʂ a o	xao	ʂ a o - -	C V V
1052	Cashibo		Pano	bone	530	ʂ o o	ṣ̌oo	ʂ o o - -	C V V
1489	Catuquina		Pano	bone	530	ʂ a o	šao	ʂ a o - -	C V V
7950	Cavinena		Tacana	bone	530	ts a u	-tsau	ts a u - -	C V V
9725	Chacobo		Pano	bone	530	ʂ a o	xao	ʂ a o - -	C V V
129	EseEjja		Tacana	bone	530	s a	e'saʔ	s a - - -	C V
650	HuarayoEseEjja		Tacana	bone	530	s a	e-'sa	s a - - -	C V
6554	Isconahua		Pano	bone	530	h a o	ponyan hao	h a o - -	C V V
6072	Kakataibo		Pano	bone	530	ʂ ɤ	xo	ʂ ɤ - - -	C V
10123	Kaxarari		Pano	bone	530	ʂ a h w u	ʂaˈhwu	ʂ a h w u	C V C C V
5918	Sharanahua		Pano	bone	530	ʃ a u	shao	ʃ a u - -	C V V
1973	ShipiboConibo		Pano	bone	530	ʂ a o	ṣ̌ao	ʂ a o - -	C V V
8528	Tacana		Tacana	bone	530	ts a u	e-tsau	ts a u - -	C V V
2548	Yaminahua		Pano	bone	530	ʂ a o	ṣ̌ao	ʂ a o - -	C V V
5052	Matses		Pano	bone	3643	k a n i t e	canite	k a n i t e	C V C V C V
#
1383	Cashibo		Pano	bow	607	k a t i	kãti	k a t i - - - -	C V C V
1846	Catuquina		Pano	bow	607	k a t i	kãti	k a t i - - - -	C V C V
10124	Kaxarari		Pano	bow	607	k ɐ n a t a h i	kɐnataˈɦi	k ɐ n a t a h i	C V C V C V C V
3801	Capanahua		Pano	bow	1834	p i ʔ a	pihá	p i ʔ a	C V C V
#
5054	Matses		Pano	boy	3281	b a kʷ ɨ	bacuë	b a kʷ ɨ - - - -	C V C V
992	Cashibo		Pano	boy	690	β ɨ r u n a ∼	βɨrunã	β ɨ r u n a ∼	C V C V C V C
6074	Kakataibo		Pano	boy	690	β ɨ ɾ ɯ n a n	bërunan	β ɨ ɾ ɯ n a n	C V C V C V C
#
1495	Catuquina		Pano	brain	5062	m a p o r ɨ s o	mapo rɨso	m a p o r ɨ s o	C V C V C V C V
6557	Isconahua		Pano	brain	5062	m a p o ɾ ɨ ʃ o	mapo resho	m a p o ɾ ɨ ʃ o	C V C V C V C V
5529	Sharanahua		Pano	brain	5062	m a p u r ɨ s u	mapo ruso	m a p u r ɨ s u	C V C V C V C V
#
3605	Capanahua		Pano	break (destroy or get destroyed)	911	t ɨ ʔ k a	tehcaquin	t ɨ ʔ k a - -	C V C C V
1203	Cashibo		Pano	break (destroy or get destroyed)	911	t ɨ k ɨ n t i	tɨ'kɨn-ti	t ɨ k ɨ n t i	C V C V C C V
6027	Sharanahua		Pano	break (destroy or get destroyed)	911	t ɨ k ɨ i	tucui	t ɨ k ɨ i - -	C V C V V
2713	Yaminahua		Pano	break (destroy or get destroyed)	911	t ɨ k ɨ k i	tɨkɨ-kĩ	t ɨ k ɨ k i -	C V C V C V
6076	Kakataibo		Pano	break (destroy or get destroyed)	1546	β a ʂ k a t i	báxkati	β a ʂ k a t i	C V C C V C V
5530	Sharanahua		Pano	break (destroy or get destroyed)	1546	β a ʃ n ɨ i	fashnui	β a ʃ n ɨ i -	C V C C V V
#
4020	Capanahua		Pano	breast	177	ʂ o m a	xoma	ʂ o m a	C V C V
1090	Cashibo		Pano	breast	177	ʂ o m a	ṣ̌oma	ʂ o m a	C V C V
1530	Catuquina		Pano	breast	177	ʂ o m a	šoma	ʂ o m a	C V C V
9443	Chacobo		Pano	breast	177	ʂ o m a	xoma	ʂ o m a	C V C V
6559	Isconahua		Pano	breast	177	h o m a	homa	h o m a	C V C V
6078	Kakataibo		Pano	breast	177	ʂ ɯ m a	xuma	ʂ ɯ m a	C V C V
5059	Matses		Pano	breast	177	ʂ u m a	ʂuma	ʂ u m a	C V C V
5532	Sharanahua		Pano	breast	177	ʃ u m a	shoma	ʃ u m a	C V C V
2028	ShipiboConibo		Pano	breast	177	ʂ o m a	ṣ̌o-ma	ʂ o m a	C V C V
2589	Yaminahua		Pano	breast	177	ʂ o m a	ṣ̌oma	ʂ o m a	C V C V
