ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
408	MayorunaJandiatuba	580	FUR	vizci
409	MayorunaJandiatuba	1455	PULL	tẽ-gáe
410	MayorunaJandiatuba	2648	HAIR (HEAD)	daui
411	MayorunaJandiatuba	1942	NEAR	nezcé
412	MayorunaJandiatuba	1428	BURNING	tamoé
413	MayorunaJandiatuba	1220	TAIL	inhá
414	MayorunaJandiatuba	1035	GOOD	birama
415	MayorunaJandiatuba	212	FIELD	máe
416	MayorunaJandiatuba	1983	SNORE	ucé
417	MayorunaJandiatuba	996	DEAF	nitchagué
418	MayorunaJandiatuba	1416	SIT	tadé
419	MayorunaJandiatuba	1268	YES	ai
420	MayorunaJandiatuba	946	BLOOD	imi
421	MayorunaJandiatuba	1909	SHAKE	ho-clé
422	MayorunaJandiatuba	1274	SALT	iú-cara
423	MayorunaJandiatuba	1398	DRY	tanoné
424	MayorunaJandiatuba	1416	SIT	tadé
425	MayorunaJandiatuba	705	GO UP (ASCEND)	danané
426	MayorunaJandiatuba	1920	DREAM (SOMETHING)	namagué
427	MayorunaJandiatuba	175	BLOW (OF WIND)	buscai
428	MayorunaJandiatuba	112	TURTLE	necó
429	MayorunaJandiatuba	1629	EVENING	diamedé
430	MayorunaJandiatuba	797	TESTICLES	ovô
431	MayorunaJandiatuba	1215	THOU	aiú-dáke
432	MayorunaJandiatuba	879	COUGH	toso-sôgue
433	MayorunaJandiatuba	761	COVER	tongué
434	MayorunaJandiatuba	52	SHIVER	sacaqué
435	MayorunaJandiatuba	1150	THUNDER	avô
436	MayorunaJandiatuba	72	CLAW	tae-macán
437	MayorunaJandiatuba	1493	ONE	aipá
438	MayorunaJandiatuba	1498	TWO	dauét
439	MayorunaJandiatuba	492	THREE	inguá
443	MayorunaJandiatuba	72	CLAW	mainezcin
444	MayorunaJandiatuba	1838	NAVEL	nitchón
445	MayorunaJandiatuba	592	PISS	puicón
446	MayorunaJandiatuba	1229	OLD	maezço
447	MayorunaJandiatuba	960	WIND	anhán
448	MayorunaJandiatuba	960	WIND	iu-né
449	MayorunaJandiatuba	1837	VULVA	tchipi
