ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
533	MayorunaJandiatuba	677	AXE	dôe
538	MayorunaJandiatuba	1417	KILL	tche-é
539	MayorunaJandiatuba	962	WOMAN	auim
540	MayorunaJandiatuba	1339	MORNING	setké
541	MayorunaJandiatuba	677	AXE	ndô-é
542	MayorunaJandiatuba	781	FEAR (FRIGHT)	dacuidé
543	MayorunaJandiatuba	962	WOMAN	aui
544	MayorunaJandiatuba	539	NEST	ná
545	MayorunaJandiatuba	1233	NIGHT	iamé
546	MayorunaJandiatuba	1233	NIGHT	iamedé
547	MayorunaJandiatuba	1231	NEW	ioká
548	MayorunaJandiatuba	590	NAKED	auenguadé
549	MayorunaJandiatuba	1221	NOSE	litchán
550	MayorunaJandiatuba	1268	YES	ai
551	MayorunaJandiatuba	1247	EAR	pauizçán
552	MayorunaJandiatuba	1247	EAR	fautchán
553	MayorunaJandiatuba	1250	JAGUAR	camôn
554	MayorunaJandiatuba	1248	EYE	boédo
555	MayorunaJandiatuba	1482	SHOULDER	potó
556	MayorunaJandiatuba	1394	BONE	tchavá
557	MayorunaJandiatuba	744	EGG	bozcei
558	MayorunaJandiatuba	3653	COOKING POT	mazçó
559	MayorunaJandiatuba	882	PARROT	tomi
560	MayorunaJandiatuba	1828	ASK (REQUEST)	naé
561	MayorunaJandiatuba	1475	COMB	que-uá-uá
562	MayorunaJandiatuba	1297	LEG	quissi
563	MayorunaJandiatuba	1210	HEAVY	eguán
564	MayorunaJandiatuba	1486	PLANT (SOMETHING)	mauané
565	MayorunaJandiatuba	1567	DOOR	sipuqué
566	MayorunaJandiatuba	163	BLACK	ussó
567	MayorunaJandiatuba	1829	JUMP	puduné
568	MayorunaJandiatuba	1301	FOOT	tuáe
569	MayorunaJandiatuba	1201	FEATHER	a-ni
570	MayorunaJandiatuba	1011	BRIDGE	poté
571	MayorunaJandiatuba	1222	PENIS	isoné
572	MayorunaJandiatuba	1222	PENIS	tchúi
573	MayorunaJandiatuba	163	BLACK	uisó
574	MayorunaJandiatuba	1210	HEAVY	ivuôe
575	MayorunaJandiatuba	580	FUR	vizci
576	MayorunaJandiatuba	1455	PULL	tẽ-gáe
577	MayorunaJandiatuba	2648	HAIR (HEAD)	daui
578	MayorunaJandiatuba	1942	NEAR	nezcé
579	MayorunaJandiatuba	1428	BURNING	tamoé
581	MayorunaJandiatuba	1220	TAIL	inhá
582	MayorunaJandiatuba	1035	GOOD	birama
583	MayorunaJandiatuba	212	FIELD	máe
584	MayorunaJandiatuba	1983	SNORE	ucé
585	MayorunaJandiatuba	996	DEAF	nitchagué
586	MayorunaJandiatuba	1416	SIT	tadé
587	MayorunaJandiatuba	1268	YES	ai
588	MayorunaJandiatuba	946	BLOOD	imi
590	MayorunaJandiatuba	1909	SHAKE	ho-clé
591	MayorunaJandiatuba	1274	SALT	iú-cara
592	MayorunaJandiatuba	1398	DRY	tanoné
593	MayorunaJandiatuba	1416	SIT	tadé
594	MayorunaJandiatuba	705	GO UP (ASCEND)	danané
595	MayorunaJandiatuba	1920	DREAM (SOMETHING)	namagué
596	MayorunaJandiatuba	175	BLOW (OF WIND)	buscai
597	MayorunaJandiatuba	112	TURTLE	necó
598	MayorunaJandiatuba	1629	EVENING	diamedé
