ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE
174	fingernail	EseEjja	Tacana	e-me-kiši	e-me-kiši	m e + k i + ʃ i	2038	948 949 953	m e + k i + ʃ i	hand_prefix hand nail		None
175	leg	EseEjja	Tacana	e-kise	e-kise	k i s e	3214	980	k i s - - e	leg		None
176	leg	EseEjja	Tacana	e-ahoho	e-ahoho	a h o h o	3227	6461	a h o h o			None
177	upper leg (thigh)	EseEjja	Tacana	e-kise	e-kise	k i s e	6033	980	k i s e	leg		None
178	knee	EseEjja	Tacana	e-kʷio-šaxa	e-kʷio-šaxa	kʷ i o + ʃ a x a	3096	993 741	kʷ i - - o + ʃ a x a	knee ear		None
179	foot	EseEjja	Tacana	e-hioxi	e-hioxi	h i o + x i	2282	140 3223	h i o + x i	foot foot		None
180	foot	EseEjja	Tacana	exioxi	exioxi	x i o + x i	2282	140 3223	x i o + x i	foot foot		None
181	heel	EseEjja	Tacana	e-xioxi-kokaxi	e-xioxi-kokaxi	x i o x i + k o k a x i	2769	8302 1003	x i o x i + k o k a x i	path ?		None
182	footprint	EseEjja	Tacana	exioxi	exioxi	x i o + x i	2289	140 3223	x i o + x i	foot foot		None
183	wing	EseEjja	Tacana	e-kʷičo	e-kʷičo	kʷ i tʃ o	6338	1050	kʷ i tʃ o			None
184	feather	EseEjja	Tacana	e-kʷičo	e-kʷičo	kʷ i tʃ o	1942	1050	kʷ i tʃ o			None
185	feather	EseEjja	Tacana	ɓoʔɓa	ɓoʔɓa	ɓ o ʔ + ɓ a	1949	915 130	ɓ o ʔ + ɓ a	arm arm		None
186	feather	EseEjja	Tacana	eɲa	eɲa	ɲ a	1938	1044	ɲ a	hair		None
187	chest	EseEjja	Tacana	e-seʔo	e-seʔo	s e ʔ o	918	1063	s e ʔ o -	chest_prefix		None
188	chest	EseEjja	Tacana	e-kʷae	e-kʷae	kʷ a e	924	1836	kʷ a - e -			None
189	breast	EseEjja	Tacana	tooxo	tooxo	t o o x o	669	1082	t o o x o -			None
190	navel	EseEjja	Tacana	xono	xono	x o n o	3786	9228	x o n - o -	rope		None
191	heart	EseEjja	Tacana	e-kihixi	e-kihixi	k i h i x i	2753	5512	k i h i x i -			None
192	lung	EseEjja	Tacana	e-šaho	e-šaho	ʃ a h o	3458	1091	- - - - ʃ - a h o	lung		None
193	lung	EseEjja	Tacana	hekišeha	hekišeha	h e k i + ʃ e + h a	3463	1090 6945 1095	h e k i + ʃ e + h a	undefined		None
194	liver	EseEjja	Tacana	e-kakʷa	e-kakʷa	k a + kʷ a	3357	1255 1093	k a + kʷ a	_:verbal liver		None
195	liver	EseEjja	Tacana	e-takʷa	e-takʷa	t a + kʷ a	3357	1092 1093	t a + kʷ a	intestines liver		None
196	kidney	EseEjja	Tacana	e-ɓetete	e-ɓetete	ɓ e t e t e	3061	6133	ɓ e - t e t e			None
197	stomach	EseEjja	Tacana	e-maxii	e-maxii	m a x i i	5474	1115	m a - x i - i			None
198	stomach	EseEjja	Tacana	teexani	teexani	t e e x a n i	5481	10990	t e e x a n i			None
199	buttocks	EseEjja	Tacana	e-kii	e-kii	k i i	802	1563	k i i			None
200	buttocks	EseEjja	Tacana	e-xoɓoča	e-xoɓoča	x o ɓ o tʃ a	810	1136	x o ɓ o tʃ a			None
201	cough	EseEjja	Tacana	oho	oho	o h o	1219	1144	o h o	cough		None
202	sneeze	EseEjja	Tacana	ači-	ači-	a tʃ i	5207	1229	- a - tʃ i - - - - - -			None
203	spit	EseEjja	Tacana	kʷičo-hea-	kʷičo-hea-	kʷ i tʃ o + h e a	5353	10726 3121	kʷ i tʃ o + h e a	 drink		None
204	vomit	EseEjja	Tacana	ɓowi-	ɓowi-	ɓ o w i	6055	12245	ɓ o w i - - - -			None
205	bite	EseEjja	Tacana	šowika-	šowika-	ʃ o w i + k a	487	933 1255	ʃ o w i + k a	 _:verbal		None
206	lick	EseEjja	Tacana	sioka-	sioka-	s i o + k a	3234	6485 1255	s i - o + k a	 _:verbal		None
207	sleep	EseEjja	Tacana	kawi-	kawi-	k a w i	5082	1270	k a w i	dream		None
208	sleep	EseEjja	Tacana	kawe-ani	kawe-ani	k a w e + a n i	5082	1270 1258	k a w e	dream ?		None
209	snore	EseEjja	Tacana	yaka-nahe	yaka-nahe	j a + k a	5218	1260 1255	j a + k a	snore _:verbal		None
210	dream (something)	EseEjja	Tacana	xa-kawi-ɓaki-nahe	xa-kawi-ɓaki-nahe	x a + k a w i + ɓ a k i	1563	2749 1270 1271	x a + k a w - - i + ɓ a - k i	root_xa dream ?		None
211	wake up	EseEjja	Tacana	šeki-	šeki-	ʃ e k i	6091	11157	ʃ e k i	sun		None
212	piss	EseEjja	Tacana	wia-	wia-	w i a	4225	8505	w i - a			None
213	shit (defecate)	EseEjja	Tacana	see-	see-	s e e	4880	9802	s e - e	shit		None
214	shiver	EseEjja	Tacana	peo-peo-nahe	peo-peo-nahe	p e o + p e o	4894	1302 1302	p e - - - o + p e o	shake shake		None
215	shiver	EseEjja	Tacana	kaka-kaka-nahe	kaka-kaka-nahe	k a k a + k a k a	4904	1304 1304	k a k a + k a k a	shake ?		None
216	bathe	EseEjja	Tacana	šeweša-	šeweša-	ʃ e w e + ʃ a	264	544 541	ʃ e w e ʃ a			None
217	be born	EseEjja	Tacana	kʷaya-	kʷaya-	kʷ a j a	274	569	kʷ a j a			None
218	kill	EseEjja	Tacana	kekʷa-	kekʷa-	k e kʷ a	3079	9864	k e - kʷ - - a	kill		None
219	bury	EseEjja	Tacana	ɓohea-	ɓohea-	ɓ o h e a	774	1509	- ɓ o h e a			None
220	bury	EseEjja	Tacana	owahea-	owahea-	o w a h e a	774	1509	o w a h e a			None
221	mighty or powerful or strong	EseEjja	Tacana	xanoɓaximanee	xanoɓaximanee	x a n o ɓ a x i m a n e e	3576	7183	x a n o ɓ a x i m a n e e			None
222	sick	EseEjja	Tacana	-mano	-mano	m a n o	4998	6345	m a n o	die		None
223	wound	EseEjja	Tacana	e-kekʷaʔaha	e-kekʷaʔaha	k e kʷ a ʔ a h a	6391	12970	k e kʷ a ʔ a h a			None
224	pus	EseEjja	Tacana	esi	esi	s i	4332	1335	s i			None
225	cure	EseEjja	Tacana	šikʷi-	šikʷi-	ʃ i kʷ i	1295	2602	ʃ i kʷ i			None
226	cure	EseEjja	Tacana	čikʷi-	čikʷi-	tʃ i kʷ i	1295	2599	tʃ i kʷ i			None
227	cure	EseEjja	Tacana	wakia	wakia	w a k i a	1308	1354	w a k i a			None
228	rest	EseEjja	Tacana	homišoka-	homišoka-	h o m i ʃ o + k a	4457	8988 1255	h o m i ʃ o + k a	 _:verbal		None
229	lazy	EseEjja	Tacana	-wea	-wea	w e a	3158	6346	w e a			None
230	deaf	EseEjja	Tacana	-keɓa	-keɓa	k e ɓ a	1410	499	k e - ɓ a			None
231	deaf	EseEjja	Tacana	hašaxaʔakiaha	hašaxaʔakiaha	h a + ʃ a x a + ʔ a k i a h a	1418	1205 741 1400	h a ʃ a x a ʔ a k i a h a	_:prefix ear ?		None
232	mute	EseEjja	Tacana	-kahi	-kahi	k a h i	3725	7490	k a h i			None
233	drunk	EseEjja	Tacana	kekʷaɲakaxi	kekʷaɲakaxi	k e kʷ a ɲ a k a x i	1599	3172	k e kʷ a ɲ a k a x i			None
234	eat	EseEjja	Tacana	ixia-	ixia-	i x i a	1669	4574	i x i a	eat		None
235	food	EseEjja	Tacana	eixiaxi	eixiaxi	i x i a + x i	2270	4574 954	i x i a x i	eat cassava		None
236	raw	EseEjja	Tacana	-eše	-eše	ʃ e	4407	896	ʃ e			None
237	ripe	EseEjja	Tacana	ke-ahawa	ke-ahawa	k e a + h a w a	4508	1791 13076	k e + a h a w a	 yellow		None
