CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE	FORM	DOCULECT
976	WEAR	wear	vestir		sahuemaquin	Capanahua
1895	CLOTHES	clothes	ropa	roupa	sahueti, chopa	Capanahua
178	RIPE	ripe	maduro	maduro	satani, johué	Capanahua
1577	AND	and	y	e	sca	Capanahua
1766	FINISH	finish	terminar	completar, acabar	senenjaquin, queyoquin	Capanahua
1025	WHISTLE	whistle	silbar, chiflar	assoviar	sesohi	Capanahua
544	SPICY	spicy	picante		shia	Capanahua
1398	DRY	dry	seco	seco	shinan, potoni	Capanahua
1523	FORGET	forget	olvidar	esquecer-se	shinanbehnoquin	Capanahua
707	REMEMBER	remember	recordar	lembrar-se	shinanquin	Capanahua
2271	THINK	think	pensar	pensar	shinanquin, hihqui	Capanahua
843	SPIDER	spider	araña	aranha	shinaxo	Capanahua
1413	PLAY	play	jugar	jogar, brincar	shirohi, pastorohahi	Capanahua
2003	FLOW	flow	fluir, correr	fluir	shoroti, bahihi	Capanahua
1035	GOOD	good	bueno	bom	sirí, rohapa	Capanahua
1224	LIVER	liver	hígado	fígado	taca	Capanahua
318	FOOTPRINT	footprint	huella	pegada	tahe	Capanahua
1301	FOOT	foot	pie	pé	tahe	Capanahua
1011	BRIDGE	bridge	puente	ponte	tahpan	Capanahua
977	ARROW	arrow	flecha	flecha	tahua, huexa	Capanahua
1730	CHEEK	cheek	mejilla	bochecha	tamo	Capanahua
908	DRUM	drum	tambor	tambor	tampora	Capanahua
1085	FOLLOW	follow	seguir	seguir	tanaquin, chibanquin	Capanahua
168	REST	rest	descansar	descansar	tantihi	Capanahua
670	ROOT	root	ráiz	raiz	tapon	Capanahua
827	ROLL	roll	rodar, arrollar, enrollar	rolar	taranquin, cahuan cahuani	Capanahua
1539	BASKET	basket	cesto, canasto, canasta	cesto, cesta	tasá	Capanahua
1274	SALT	salt	sal	sal	tashi	Capanahua
52	SHIVER	shiver	temblar	tremer	tastahihqui, tarihihqui, shacoti	Capanahua
688	LUNG	lung	pulmón	pulmão	taxhcan, boxan	Capanahua
319	LICK	lick	lamer	lamber	taxoquin, siroquin	Capanahua
1223	HEART	heart	corazón	coração	tecá, jointi	Capanahua
2308	THIN	thin	delgado	fino	techo, pechoni, paxbí	Capanahua
1086	WORK (ACTIVITY)	work (activity)	trabajar		teeti	Capanahua
1961	NECKLACE	necklace	collar	colar	teoti	Capanahua
2012	COLLAR	collar	collar	colarinho	teoti	Capanahua
38	SPREAD OUT	spread out	extender, esparcir	estender, espalhar	teponjaquin, pehchaquin, ahcanquin	Capanahua
1150	THUNDER	thunder	trueno	trovão	terenhihca	Capanahua
1359	SEPARATE	separate	separar, apartar	separar	teresahquin, mequequin	Capanahua
1437	SPLIT	split	hender, partir	rachar	tesquenjaquin	Capanahua
798	JAW	jaw	mandíbula	maxila	tetao xao, coi xao	Capanahua
1346	THROAT	throat	garganta	gargante	tetonco, teton	Capanahua
1333	NECK	neck	cuello	pescoço	texo, teton, techon	Capanahua
1449	RUB	rub	frotar, enjugar	esfregar	teyoquin, rahsoquin	Capanahua
1292	BAD	bad	malo	mau	tiroma	Capanahua
66	KNEEL	kneel	arrodillarse	ajoelhar	tisquihihpaqueti	Capanahua
1440	SPIT	spit	escupir (saliva [noun])	cuspir	toshbanhahquin	Capanahua
21	TASTE (SOMETHING)	taste (something)	gustar, saborear	sabor, gosto	totoquin	Capanahua
3456	CRAWL OR CREEP	crawl or creep	gatear	rastejar, arrastar-se	toxquiti, mexquiti	Capanahua
1456	THROW	throw	tirar	jogar	tsacaquin	Capanahua
998	PUT	put	poner	pôr	tsahonquin, racanquin, niaquin	Capanahua
1476	CHAIR	chair	silla	cadeira	tsahoti	Capanahua
1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)	tsahoti, yahsameti	Capanahua
1198	MANY	many	muchos	muitos	tsama, hicha	Capanahua
1576	PILE UP	pile up	amontonar	empilhar	tsamanquin	Capanahua
1109	WOUND	wound	herida, llaga	ferida, chaga	tsehue	Capanahua
2411	HURT (SOMEBODY)	hurt (somebody)	herir		tsehuejaquin	Capanahua
1913	PRESS	press	presionar	comprimir, apertar	tsihuaquin, tsihahquin	Capanahua
371	PICK UP	pick up	recoger	captar	tsinquiquin, yohcaquin	Capanahua
1831	MEET	meet	reunirse	encontrar	tsinquiti, mahpócani	Capanahua
378	PINCH	pinch	pellizcar	beliscar	tsominquin	Capanahua
