CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	Form
1213	YOU	you	ustedes	
1624	EMPTY	empty	vacío	
1836	VAGINA	vagina	vagina	
1554	MAN	man	varón, hombre	
1936	DEER	deer	venado, matacán	
1571	SELL	sell	vender	
1446	COME	come	venir	
1409	SEE	see	ver	
1342	SUMMER	summer	verano	
1657	TRUE	true	verdadero	
1425	GREEN	green	verde (color)	
1229	OLD	old	viejo	
2112	OLD (AGED)	old (aged)	viejo	
960	WIND	wind	viento 	
1422	BE ALIVE	be alive	vivo	
1441	FLY (MOVE THROUGH AIR)	fly (move through air)	volar	
1444	TURN AROUND	turn around	voltear, dar vuelta	
581	COME BACK	come back	volver, regresar	
1278	VOMIT	vomit	vomitar, arrojar	
1363	VOICE	voice	voz	
1837	VULVA	vulva	vulva	
1577	AND	and	y	
1209	I	i	yo, mi	
925	CASSAVA	cassava	yuca	
1509	MOSQUITO	mosquito	zancudo	
864	PUMPKIN	pumpkin	zapallo, calabaza, calabazo	
