DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	FORM
Tacana	678	BEARD	beard	barba	quedha
Tacana	1396	SHARP	sharp	afilado, aguzado, filoso	quejuda
Tacana	777	FLUTE	flute	flauta	quena
Tacana	1237	WHERE	where	dónde?	quepia
Tacana	1238	WHEN	when	cuándo?	quetupu
Tacana	1222	PENIS	penis	pene	qui
Tacana	492	THREE	three	tres	quimisha
Tacana	1309	ASK (INQUIRE)	ask (inquire)	preguntar	quisa-ba
Tacana	1440	SPIT	spit	escupir	quitua
Tacana	1983	SNORE	snore	roncar	racaca
Tacana	1432	CUT	cut	cortar	raja, dha-dha
Tacana	1667	HOLE	hole	hueco, agujero	rara
Tacana	1218	ROPE	rope	soga, cuerda	reijiji
Tacana	3456	CRAWL OR CREEP	crawl or creep	gatear	rerua
Tacana	1075	TRAP (PITFALL)	trap (pitfall)	trampa	ribi, d’ibi
Tacana	380	WRINKLED	wrinkled	arrugado	richi-richi
Tacana	602	HIDE (CONCEAL)	hide (conceal)	esconder (algo)	rubua
Tacana	1453	WASH	wash	lavar	rucua
Tacana	1457	SEW	sew	coser	rusu
Tacana	215	LIE DOWN	lie down	acostarse, echarse	sa-na
Tacana	1791	BUTTERFLY	butterfly	mariposa	sababa
Tacana	499	CURE	cure	curar	saisia-me
Tacana	1906	SOUR	sour	ácido, agrio	sajuda, tebuda
Tacana	1185	VULTURE	vulture	buitre	samani
Tacana	1261	SING	sing	cantar	satsu
Tacana	227	FISH	fish	pez, pescado	se
Tacana	1523	FORGET	forget	olvidar	seta
Tacana	2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien	shanapa
Tacana	239	FLOWER	flower	flor	shasha
Tacana	1456	THROW	throw	tirar	sia
Tacana	1286	HOT	hot	caliente	sinada
Tacana	1360	DUCK	duck	pato, ánade	suse
Tacana	1733	RAINBOW	rainbow	arcoiris	susenabacua
Tacana	133	WEAVE	weave	tejer	tad’i
Tacana	1884	HARD	hard	duro	tadada
Tacana	1767	SCRAPE	scrape	raspar, rallar	tadhi
Tacana	1585	SLEEP	sleep	dormir	tahui
Tacana	1920	DREAM (SOMETHING)	dream (something)	soñar	tahui-tsu
Tacana	1388	SHADE	shade	sombra	tanana
Tacana	2004	BEND	bend	encorvar, doblar	tanuja
Tacana	1217	FATHER	father	padre, papá	tata
Tacana	1829	JUMP	jump	saltar	tenatsua, biatena
Tacana	1046	SHUT	shut	cerrar	teri
Tacana	1447	GIVE	give	dar	tia
Tacana	1424	YELLOW	yellow	amarillo	tid’ina
Tacana	1621	SNEEZE	sneeze	estornudar	tid’u
Tacana	1686	BEHIND	behind	atrás, detrás	tije
Tacana	1085	FOLLOW	follow	seguir	tije-tije a
Tacana	127	EXTINGUISH	extinguish	apagar	tiju
Tacana	1879	DANCE	dance	bailar	tiri-tiri
Tacana	923	LOVE	love	querer	tsa-da ba
Tacana	1784	WANT	want	desear (querer)	tsa, utsata
Tacana	1726	WET	wet	mojado	tsabida
Tacana	1897	HELP	help	ayudar	tsahua
Tacana	2017	MIX	mix	mezclar, mixturar	tsapia-tsapia
Tacana	735	OWL	owl	lechuza	tsaudachi
Tacana	704	CLEAN	clean	limpio	tseruda
Tacana	1463	DRUNK	drunk	borracho, ebrio	tsetsejiji
Tacana	319	LICK	lick	lamer	tseu
Tacana	713	STEAL	steal	robar	tsi
Tacana	1109	WOUND	wound	herida, llaga	tsiji
Tacana	1225	DAY (NOT NIGHT)	day (not night)	día	tsine
Tacana	719	FIND	find	encontrar, hallar	tsu
Tacana	705	GO UP (ASCEND)	go up (ascend)	subir	tsua
Tacana	1403	BITE	bite	morder	tsui
Tacana	1838	NAVEL	navel	ombligo	tsuju
Tacana	1651	TEAR (OF EYE)	tear (of eye)	lágrima	tua-na
Tacana	956	FLEE	flee	huir	tuasiu
Tacana	3188	MIGHTY OR POWERFUL OR STRONG	mighty or powerful or strong	fuerte, poderoso	tucheda
Tacana	817	THEY	they	ellos, ellas	tuneda
Tacana	1219	WORM	worm	lombriz, gusano	tunu
