DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	FORM
Chacobo	930	VILLAGE	village	pueblo, comunidad	
Chacobo	1011	BRIDGE	bridge	puente	
Chacobo	1567	DOOR	door	puerta	
Chacobo	688	LUNG	lung	pulmón	
Chacobo	1808	PUS	pus	pus	
Chacobo	1236	WHAT	what	qué?	
Chacobo	141	BURN (SOMETHING)	burn (something)	quemar, quemarse	
Chacobo	923	LOVE	love	querer	
Chacobo	1235	WHO	who	quién?	
Chacobo	670	ROOT	root	ráiz	
Chacobo	3080	SPLIT OPEN	split open	rajar	
Chacobo	503	FROG	frog	rana	
Chacobo	1767	SCRAPE	scrape	raspar, rallar	
Chacobo	707	REMEMBER	remember	recordar	
Chacobo	1404	STRAIGHT	straight	recto	
Chacobo	1355	LAUGH	laugh	reír	
Chacobo	1654	LIGHTNING	lightning	relámpago	
Chacobo	1324	SLIP	slip	resbalar	
Chacobo	1831	MEET	meet	reunirse	
Chacobo	489	KIDNEY	kidney	riñón	
Chacobo	713	STEAL	steal	robar	
Chacobo	1977	DEW	dew	rocío	
Chacobo	827	ROLL	roll	rodar, arrollar, enrollar	
Chacobo	1371	KNEE	knee	rodilla	
Chacobo	156	RED	red	rojo	
Chacobo	379	BLUNT	blunt	romo, embotado	
Chacobo	680	BREAK (DESTROY OR GET DESTROYED)	break (destroy or get destroyed)	romper	
Chacobo	1735	TEAR (SHRED)	tear (shred)	romper, rasgar	
Chacobo	1983	SNORE	snore	roncar	
Chacobo	1895	CLOTHES	clothes	ropa	
Chacobo	377	LOUD	loud	ruidoso	
Chacobo	1410	KNOW (SOMETHING)	know (something)	saber	
Chacobo	1909	SHAKE	shake	sacudir	
Chacobo	1274	SALT	salt	sal	
Chacobo	1752	LEAVE	leave	salir, marcharse, irse, quitarse	
Chacobo	607	GRASSHOPPER	grasshopper	saltamontes	
Chacobo	1829	JUMP	jump	saltar	
Chacobo	946	BLOOD	blood	sangre	
Chacobo	1398	DRY	dry	seco	
Chacobo	1085	FOLLOW	follow	seguir	
Chacobo	714	SEED	seed	semilla	
Chacobo	1416	SIT	sit	sentado	
Chacobo	730	SNAKE	snake	serpiente	
Chacobo	641	MUSHROOM	mushroom	seta	
Chacobo	1268	YES	yes	sí, afirmativo	
Chacobo	1025	WHISTLE	whistle	silbar, chiflar	
Chacobo	1476	CHAIR	chair	silla	
Chacobo	1218	ROPE	rope	soga, cuerda	
Chacobo	1343	SUN	sun	sol	
Chacobo	1580	ONLY	only	solo, solamente	
Chacobo	1388	SHADE	shade	sombra	
Chacobo	1920	DREAM (SOMETHING)	dream (something)	soñar	
Chacobo	175	BLOW (OF WIND)	blow (of wind)	soplar	
Chacobo	996	DEAF	deaf	sordo	
Chacobo	1856	SOFT	soft	suave	
Chacobo	705	GO UP (ASCEND)	go up (ascend)	subir	
Chacobo	1230	DIRTY	dirty	sucio	
Chacobo	974	TOBACCO	tobacco	tabaco	
Chacobo	155	CHOP	chop	tajar, cortar	
Chacobo	980	HEEL	heel	talón	
Chacobo	908	DRUM	drum	tambor	
Chacobo	1629	EVENING	evening	tarde	
Chacobo	769	ROOF	roof	techo	
Chacobo	133	WEAVE	weave	tejer	
Chacobo	1616	CLOTH	cloth	tela	
Chacobo	1065	SPIDER WEB	spider web	telaraña	
Chacobo	52	SHIVER	shiver	temblar	
Chacobo	214	STRETCH	stretch	tender, alargar, estirar	
Chacobo	1448	HOLD	hold	tener (en mano), apoyar	
Chacobo	162	HICCOUGH	hiccough	tener hipo	
Chacobo	549	COPULATE	copulate	tener relaciones sexuales, tener sexo	
Chacobo	797	TESTICLES	testicles	testículo	
Chacobo	1402	BREAST	breast	teta, seno, pechos	
Chacobo	2693	MATERNAL AUNT (MOTHER'S SISTER)	mother's sister	tia materna	
Chacobo	1228	EARTH (SOIL)	earth (soil)	tierra	
Chacobo	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	mother's brother	tio materno	
Chacobo	1456	THROW	throw	tirar	
Chacobo	1892	TOUCH	touch	tocar	
Chacobo	241	TREE STUMP	tree stump	tocón	
Chacobo	98	ALL	all	todo	
Chacobo	297	CROOKED	crooked	torcido	
Chacobo	112	TURTLE	turtle	tortuga, motelo	
Chacobo	879	COUGH	cough	toser	
Chacobo	692	BRING	bring	traer	
Chacobo	897	SWALLOW	swallow	tragar	
Chacobo	1075	TRAP (PITFALL)	trap (pitfall)	trampa	
Chacobo	2252	PATH	path	trocha	
Chacobo	1150	THUNDER	thunder	trueno	
Chacobo	1215	THOU	thou	tú, usted	
Chacobo	1258	FINGERNAIL	fingernail	uña	
Chacobo	1743	JOIN	join	unirse	
Chacobo	1493	ONE	one	uno	
Chacobo	1213	YOU	you	ustedes	
Chacobo	1624	EMPTY	empty	vacío	
Chacobo	1554	MAN	man	varón, hombre	
Chacobo	1936	DEER	deer	venado, matacán	
Chacobo	1571	SELL	sell	vender	
Chacobo	1446	COME	come	venir	
Chacobo	1409	SEE	see	ver	
Chacobo	1657	TRUE	true	verdadero	
Chacobo	1425	GREEN	green	verde (color)	
Chacobo	1229	OLD	old	viejo	
Chacobo	960	WIND	wind	viento 	
Chacobo	1441	FLY (MOVE THROUGH AIR)	fly (move through air)	volar	
Chacobo	1444	TURN AROUND	turn around	voltear, dar vuelta	
Chacobo	1278	VOMIT	vomit	vomitar, arrojar	
Chacobo	1837	VULVA	vulva	vulva	
Chacobo	1209	I	i	yo, mi	
Chacobo	925	CASSAVA	cassava	yuca	
Chacobo	1509	MOSQUITO	mosquito	zancudo	
Chacobo	864	PUMPKIN	pumpkin	zapallo, calabaza, calabazo	
