ID	DOCULECT	CONCEPTICON ID	CONCEPTICON_GLOSS	VALUE
1366	Araona_IDS	606	GRASS	noc̷a
1367	Araona_IDS	1486	PLANT (SOMETHING)	bana
1368	Araona_IDS	1486	PLANT (SOMETHING)	zaza
1369	Araona_IDS	670	ROOT	akʷi-c̷aha
1370	Araona_IDS	670	ROOT	c̷aha
1371	Araona_IDS	628	LEAF	akʷi-iɲa
1372	Araona_IDS	239	FLOWER	ec̷a
1373	Araona_IDS	906	TREE	akʷi
1374	Araona_IDS	1204	BARK	akʷi-biki bewe
1375	Araona_IDS	1204	BARK	ehi
1376	Araona_IDS	159	SWEET POTATO	halili
1377	Araona_IDS	925	CASSAVA	kʷawe-a
1378	Araona_IDS	864	PUMPKIN	hemi
1379	Araona_IDS	641	MUSHROOM	taze
1380	Araona_IDS	2004	BEND	badodoa
1381	Araona_IDS	2004	BEND	wac̷oc̷oa
1382	Araona_IDS	1917	TIE	ihi
1383	Araona_IDS	352	UNTIE	piso
1384	Araona_IDS	352	UNTIE	a-laka-laka
1385	Araona_IDS	352	UNTIE	c̷ona
1386	Araona_IDS	1218	ROPE	bado
1387	Araona_IDS	1218	ROPE	misa
1388	Araona_IDS	1432	CUT	hikʷi
1389	Araona_IDS	1432	CUT	sasa
1390	Araona_IDS	1432	CUT	hala
1391	Araona_IDS	1432	CUT	laha
1392	Araona_IDS	677	AXE	baha
1393	Araona_IDS	680	BREAK (DESTROY OR GET DESTROYED)	lae
1394	Araona_IDS	680	BREAK (DESTROY OR GET DESTROYED)	noi
1395	Araona_IDS	1437	SPLIT	noi
1396	Araona_IDS	1437	SPLIT	tozo
1397	Araona_IDS	1437	SPLIT	sala
1398	Araona_IDS	1735	TEAR (SHRED)	zio
1399	Araona_IDS	1735	TEAR (SHRED)	lema
1400	Araona_IDS	1735	TEAR (SHRED)	lao
1401	Araona_IDS	1449	RUB	kʷihi
1402	Araona_IDS	214	STRETCH	dela
1403	Araona_IDS	1455	PULL	lekʷekʷe-a
1404	Araona_IDS	1414	SQUEEZE	tedi
1405	Araona_IDS	1414	SQUEEZE	solo
1406	Araona_IDS	1453	WASH	lokʷa
1407	Araona_IDS	46	HOLLOW OUT	mewe
1408	Araona_IDS	46	HOLLOW OUT	mewe-ana
1409	Araona_IDS	1539	BASKET	kʷaba
1410	Araona_IDS	1539	BASKET	c̷ota
1411	Araona_IDS	1539	BASKET	ziki
1412	Araona_IDS	195	MAT	zipe-i
