CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE
1533	BE HUNGRY	be hungry	hambriento	TER FOME
1539	BASKET	basket	cesto, canasto, canasta	cesto, cesta
1540	EYELASH	eyelash	pestaña	pestana, cílio
1543	SNAIL	snail	caracol	lesma
1554	MAN	man	varón, hombre	homem
1560	FACE	face	cara	rosto
1564	LAZY	lazy	perezoso	preguiçoso
1567	DOOR	door	puerta	porta, portão
1571	SELL	sell	vender	vender
1574	FLOAT	float	flotar	flutuar
1575	COCKROACH	cockroach	cucaracha	barata
1576	PILE UP	pile up	amontonar	empilhar
1577	AND	and	y	e
1580	ONLY	only	solo, solamente	só, somente
1583	BRAIN	brain	cerebro, sesos	cérebro, miolos
1585	SLEEP	sleep	dormir	dormir
1586	SMELL (PERCEIVE)	smell (perceive)	oler, olfatear	cheirar
1587	SMELL (STINK)	smell (stink)	apestar, heder, oler mal	cheirar
1588	TURN	turn	girar, voltearse	virar
1590	WAIT (FOR)	wait (for)	esperar	
1591	UP	up	arriba, encima	em cima, sôbre
1592	CHEST	chest	pecho	peito
1593	DEEP	deep	profundo, hondo	fundo
1594	FLOUR	flour	harina	farinha
1602	WAKE UP	wake up	despertarse	acordar
1606	INSIDE	inside	adentro, dentro	dentro
1615	ESCAPE	escape	escapar	
1616	CLOTH	cloth	tela	tecido, pano
1621	SNEEZE	sneeze	estornudar	espirrar
1623	SPEAK	speak	hablar	falar (palavras)
1624	EMPTY	empty	vacío	vazio
1625	DEAD	dead	muerto	morto
1629	EVENING	evening	anochecer	tarde
1631	FAST	fast	ágil	rápido, ligeiro
1633	FLAT	flat	plano	plano, chato
1644	RELATIVES	relatives	parientes, parentela	parentes
1645	SHORT	short	corto	curto
1646	GIRL	girl	niña	menininha
1649	SIT DOWN	sit down	sentarse	SENTAR (-SE)
1651	TEAR (OF EYE)	tear (of eye)	lágrima	lágrima
1654	LIGHTNING	lightning	relámpago	relâmpago
1657	TRUE	true	verdadero	verdadeiro
1660	LOSE	lose	perder	
1666	MUTE	mute	mudo	mudo
1667	HOLE	hole	hueco, agujero	buraco
1672	WRITE	write	escribir	escrever
1673	ARM	arm	brazo	braço
1674	POOR	poor	pobre	pobre
1686	BEHIND	behind	atrás, detrás	atrás de
1689	SMOKE (INHALE)	smoke (inhale)	fumar	fumar
1690	FENCE	fence	quitamiedos	cerca
1711	TELL	tell	contar, narrar	dizer
1719	BURY	bury	sepultar	enterrar
1720	SIGN	sign	marca	
1726	WET	wet	mojado	molhado, úmido
1728	ROTTEN	rotten	podrido	podre
1730	CHEEK	cheek	mejilla	bochecha
1732	SKY	sky	cielo	céu
1733	RAINBOW	rainbow	arcoiris	arco-í­ris
1735	TEAR (SHRED)	tear (shred)	romper, rasgar	romper, rasgar
1741	ABOVE	above	encima	encima
1743	JOIN	join	unirse	juntar, unir
1750	CHOOSE	choose	escoger, elegir	escolher
1752	LEAVE	leave	salir, marcharse, irse, quitarse	partir, ir-se embora
1753	TOP	top	parte superior	cume, topo
1758	OLDER SISTER	older sister	hermana mayor	irmã mais velha
1759	OLDER BROTHER	older brother	hermano mayor	irmão mais velho
1760	YOUNGER BROTHER	younger brother	hermano menor	irmão mais novo
1761	YOUNGER SISTER	younger sister	hermana menor	irmã mais nova
1766	FINISH	finish	terminar	completar, acabar
1767	SCRAPE	scrape	raspar, rallar	raspar
1778	APPROACH	approach	acercarse	aproximar
1783	PAIN	pain	dolor	dor
1784	WANT	want	desear (querer)	querer
1786	DRY UP	dry up	secar	secar
1791	BUTTERFLY	butterfly	mariposa	borboleta
1793	BAT	bat	murciélago	morcego
1803	WOOD	wood	madera	madeira
1808	PUS	pus	pus	pus
1819	LOOK	look	mirar, contemplar	olhar para, fitar
1821	BRUSH	brush	cepillo	escova
1827	HARVEST CROPS	harvest crops	cosechar	
1828	ASK (REQUEST)	ask (request)	pedir	pedir
1829	JUMP	jump	saltar	saltar
1831	MEET	meet	reunirse	encontrar
1836	VAGINA	vagina	vagina	vagina
1837	VULVA	vulva	vulva	órgão sexual feminino
1838	NAVEL	navel	ombligo	umbigo
1839	CRY	cry	llorar	chorar
1840	BUILD	build	construir, edificar	construir
1844	BOAT	boat	bote	canoa
1845	BALL	ball	pelota, esfera, globo	esfera, bola
1847	SICK	sick	estar enfermo	doente, doença
1850	COTTON	cotton	algodón	algodão
1856	SOFT	soft	suave	mole
1860	BEAD	bead	chaquira, abalorio	contas, miçanga
1864	HUNGER	hunger	hambre	fome
1869	BUY	buy	comprar	comprar
1879	DANCE	dance	bailar	dançar
1883	IN FRONT OF	in front of	delante	frente
1884	HARD	hard	duro	duro
1886	ARMPIT	armpit	axila, sobaco	axila, sovaco
1892	TOUCH	touch	tocar	tocar
1895	CLOTHES	clothes	ropa	roupa
1897	HELP	help	ayudar	ajudar
1906	SOUR	sour	ácido, agrio	ácido, azedo
1909	SHAKE	shake	sacudir	agitar
1913	PRESS	press	presionar	comprimir, apertar
1917	TIE	tie	anudar	amarrar, atar
1920	DREAM (SOMETHING)	dream (something)	soñar	sonhar
1923	ROUGH	rough	áspero	áspero
1936	DEER	deer	venado, matacán	veado
1937	THERE	there	allí	lá
1942	NEAR	near	cerca	perto, próximo
1955	GRIEVE	grieve	afligirse	
1958	UNRIPE	unripe	inmaduro, no maduro, verde	verde, imaturo
1959	RAW	raw	crudo	cru
1961	NECKLACE	necklace	collar	colar
1962	ROAST (SOMETHING)	roast (something)	asar	ASSAR
1970	CANOE	canoe	canoa, curiara	canoa
1973	DEMON	demon	demonio	demônio
1977	DEW	dew	rocío	orvalho
1983	SNORE	snore	roncar	roncar, ressonar
1986	DISEASE	disease	enfermedad (dolencia)	
