DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM
Chipaya	1246	SMALL	zqulta, ch’uli
Chipaya	360	FAN (ACTION)	
Chipaya	665	BEE	
Chipaya	1434	STAB	
Chipaya	2912	FORWARD	
Chipaya	231	SHAVE	
Chipaya	1396	SHARP	
Chipaya	696	STIR	
Chipaya	46	HOLLOW OUT	
Chipaya	811	SOUL	
Chipaya	1374	RING	
Chipaya	1917	TIE	
Chipaya	42	STINKING	
Chipaya	994	BOW	
Chipaya	380	WRINKLED	
Chipaya	999	JOINT	
Chipaya	1510	CHIN	
Chipaya	1185	VULTURE	
Chipaya	159	SWEET POTATO	
Chipaya	1970	CANOE	
Chipaya	1860	BEAD	
Chipaya	772	BELT	
Chipaya	269	COOKED	
Chipaya	2248	KNOW (SOMEBODY)	
Chipaya	1645	SHORT	
Chipaya	738	THING	
Chipaya	761	COVER	
Chipaya	2866	DROP (SOMETHING)	
Chipaya	1172	SHOOT	
Chipaya	1129	PAINFUL	
Chipaya	855	SEIZE	
Chipaya	1358	ENEMY	
Chipaya	2223	BE ANGRY	
Chipaya	1442	STAND	
Chipaya	1621	SNEEZE	
Chipaya	977	ARROW	
Chipaya	3287	BLOOM	
Chipaya	690	BOTTOM	
Chipaya	1318	CHICKEN	
Chipaya	1005	TWINS	
Chipaya	2019	HAMMOCK	
Chipaya	675	FAECES (EXCREMENT)	
Chipaya	587	ANT	
Chipaya	318	FOOTPRINT	
Chipaya	1958	UNRIPE	
Chipaya	1250	JAGUAR	
Chipaya	301	CHIEFTAIN	
Chipaya	1203	LONG	
Chipaya	320	LAME	
Chipaya	652	PLAIN	
Chipaya	640	MUD	
Chipaya	178	RIPE	
Chipaya	8	CURSE	
Chipaya	798	JAW	
Chipaya	1730	CHEEK	
Chipaya	2827	MENSTRUATE	
Chipaya	2069	SOAK (VERB)	
Chipaya	2324	GET WET	
Chipaya	2409	BROWN	
Chipaya	765	MOVE	
Chipaya	1666	MUTE	
Chipaya	1142	URINE	
Chipaya	505	PARENTS	
Chipaya	882	PARROT	
Chipaya	2390	PECCARY	
Chipaya	1159	FART	
Chipaya	1564	LAZY	
Chipaya	1047	PURSUE	
Chipaya	195	MAT	
Chipaya	1486	PLANT (SOMETHING)	
Chipaya	1157	BECAUSE	
Chipaya	1011	BRIDGE	
Chipaya	688	LUNG	
Chipaya	1808	PUS	
Chipaya	1490	RAT	
Chipaya	1831	MEET	
Chipaya	827	ROLL	
Chipaya	379	BLUNT	
Chipaya	377	LOUD	
Chipaya	1416	SIT	
Chipaya	641	MUSHROOM	
Chipaya	1476	CHAIR	
Chipaya	129	CHOKE	
Chipaya	119	DIVE	
Chipaya	974	TOBACCO	
Chipaya	463	FELL (A TREE)	
Chipaya	1448	HOLD	
Chipaya	549	COPULATE	
Chipaya	112	TURTLE	
Chipaya	897	SWALLOW	
Chipaya	2252	PATH	
Chipaya	1836	VAGINA	
Chipaya	1936	DEER	
Chipaya	1342	SUMMER	
Chipaya	1422	BE ALIVE	
Chipaya	1577	AND	
Chipaya	925	CASSAVA	
Chipaya	1509	MOSQUITO	
Chipaya	864	PUMPKIN	
