DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM
Tacana	1660	LOSE	
Tacana	683	PERSON	
Tacana	1913	PRESS	
Tacana	1011	BRIDGE	
Tacana	232	FLEA	
Tacana	688	LUNG	
Tacana	503	FROG	
Tacana	1654	LIGHTNING	
Tacana	379	BLUNT	
Tacana	1735	TEAR (SHRED)	
Tacana	3020	BREAK (BREAKING)	
Tacana	1416	SIT	
Tacana	730	SNAKE	
Tacana	641	MUSHROOM	
Tacana	2319	LID (COVER, CAP)	
Tacana	1629	EVENING	
Tacana	1616	CLOTH	
Tacana	52	SHIVER	
Tacana	773	HAVE	
Tacana	1448	HOLD	
Tacana	162	HICCOUGH	
Tacana	2252	PATH	
Tacana	1150	THUNDER	
Tacana	1743	JOIN	
Tacana	1624	EMPTY	
Tacana	1836	VAGINA	
Tacana	1936	DEER	
Tacana	1342	SUMMER	
Tacana	1577	AND	
Tacana	1509	MOSQUITO	
